STATE;RATE
AL;15.8
AK;12.1
AZ;15.5
AR;15.6
CA;13.4
CO;8.7
CT;9.9
DE;10.6
District of Columbia….;15.5
FL;14.3
GA;15.6
HI;10.2
ID;11.7
IL;11.3
IN;12.3
IA;9.7
KS;13.4
KY;16.4
LA;20.0
ME;12.3
MD;8.2
MA;10.6
MI;12.2
MN;8.6
MS;19.5
MO;11.3
MT;11.1
NE;10.1
NV;12.3
NH;6.7
NJ;9.7
NM;18.7
NY;13.2
NC;14.4
ND;11.0
OH;13.3
OK;13.8
OR;11.3
PA;11.5
RI;11.8
SC;14.6
SD;12.9
TN;13.7
TX;14.0
UT;8.8
VT;10.2
VA;10.8
WA;10.7
WV;16.6
WI;10.5
WY;11.0
